flown_key;customer_key;leg_origin_key;leg_dest_key;trip_origin_key;trip_dest_key;flight_key;fare_class_key;channel_key;fare;miles;minutes_late;ticket_number
18;1;12;1;12;6;20;17;15;157;828;0;3019
18;1;1;6;12;6;94;8;15;21;112;36;3019
24;1;6;12;6;12;6;17;15;375;1972;22;3019
38;1;5;14;5;11;1;12;14;303;1597;0;1063
38;1;14;11;5;11;76;6;14;360;1897;40;1063
41;1;11;4;11;5;15;2;14;99;522;0;1063
41;1;4;5;11;5;84;6;14;238;1255;0;1063
32;1;14;19;14;19;11;19;2;191;1004;0;8348
37;1;19;14;19;14;10;4;2;239;1257;0;8348
51;1;14;11;14;11;16;10;4;316;1665;0;3904
54;1;11;17;11;14;3;4;4;136;714;0;3904
54;1;17;14;11;14;92;19;4;288;1515;0;3904
44;1;5;4;5;7;24;2;10;332;1745;0;954
44;1;4;7;5;7;81;14;10;12;61;0;954
52;1;7;5;7;5;18;12;10;126;662;0;954
56;1;9;13;9;20;9;3;2;378;1987;0;1146
56;1;13;20;9;20;75;7;2;204;1076;0;1146
65;1;20;4;20;9;11;11;2;162;855;0;1146
65;1;4;9;20;9;80;13;2;337;1773;0;1146
52;1;4;8;4;11;22;10;7;284;1494;0;2232
52;1;8;11;4;11;94;4;7;363;1913;0;2232
53;1;11;12;11;4;6;10;7;151;797;74;2232
53;1;12;4;11;4;77;13;7;164;862;0;2232
80;1;17;6;17;14;9;9;6;245;1291;0;4175
80;1;6;14;17;14;77;4;6;364;1918;0;4175
85;1;14;20;14;17;14;19;6;263;1385;0;4175
85;1;20;17;14;17;93;15;6;85;447;0;4175
59;1;11;16;11;16;20;17;16;333;1751;0;8006
61;1;16;9;16;11;3;6;16;189;995;0;8006
61;1;9;11;16;11;97;8;16;83;436;0;8006
91;1;13;12;13;8;24;11;5;98;518;0;3895
91;1;12;8;13;8;79;7;5;319;1681;0;3895
99;1;8;13;8;13;16;4;5;357;1879;0;3895
90;1;12;19;12;19;18;2;20;93;491;0;5748
94;1;19;5;19;12;24;17;20;292;1539;0;5748
94;1;5;12;19;12;84;4;20;58;305;0;5748
85;1;14;10;14;11;1;9;2;339;1782;0;1830
85;1;10;11;14;11;79;3;2;143;754;0;1830
95;1;11;16;11;14;9;10;2;214;1127;0;1830
95;1;16;14;11;14;80;8;2;201;1056;0;1830
87;1;11;20;11;5;21;9;12;66;348;0;9626
87;1;20;5;11;5;75;7;12;42;219;0;9626
91;1;5;9;5;11;19;14;12;196;1032;0;9626
91;1;9;11;5;11;89;15;12;108;566;0;9626
101;1;8;16;8;1;15;13;18;302;1587;0;2946
101;1;16;1;8;1;77;11;18;171;902;0;2946
106;1;1;8;1;8;1;4;18;212;1116;0;2946
112;1;2;12;2;7;9;19;1;164;863;0;6030
112;1;12;7;2;7;79;2;1;361;1902;0;6030
